final_balance,income_mean,outcome_mean,incomes_max,incomes_min,outcomes_max,outcomes_min,fequent_operation_hour
8212.07,548.15,548.49,988.71,22.46,997.73,37.19,12
12488.26,666.93,443.68,996.93,31.46,946.29,1.36,18
-16398.07,453.83,552.5,968.81,53.48,997.88,54.49,2
-9391,444.78,517.16,965.97,8.44,998.33,12.04,17
-7653.3,426.42,510.96,985.25,52.37,873.44,11.11,3
-1987.79,547.8,500.45,998.59,14.03,995.18,7.33,18
-46.95,489.73,458.64,995.3,2.26,967.66,7.98,4
2578.83,557.74,524.19,966.74,32.61,991.85,63.76,4
51.51,509.43,527.69,988.68,29.42,984.85,29.98,2
-924.47,495.49,621.22,950.77,24.51,998.97,58.52,3
7896.69,530.04,604.76,968.49,91.73,996.63,65.63,15
-7460.72,415.04,441.89,810.72,41.46,959.99,8.76,15
-171.43,465.24,495.55,980.77,45.84,919.57,82.96,5
1419.71,533.23,518.51,986.77,44.6,958.07,92.29,3
-5550.58,522.67,416.71,965.99,19.78,987.27,1.36,18
5076.15,499.54,479.54,972.89,21.58,994.27,20.3,6
-3946.27,511.6,547.45,999.29,21.24,994.82,12.7,23
-9008.79,421.04,505.21,984.92,10.51,998,58.48,2
-4644.02,460.44,527.16,927.75,16.62,990.59,1.67,16
-3495.53,422.55,468.64,940.82,52.86,976.75,12.13,23
6992.25,535.38,499.8,997.33,20.64,941.44,93.01,23
-7236.84,490.65,524.72,962.89,1.96,995.09,18.28,20
-7844.61,379.91,520.9,816.41,68.63,921,34.5,5
-2729.3,520.51,552.94,984.89,4.59,967.85,123.45,0
-11982.34,460.38,546.9,972.92,48.06,994.58,16.01,15
4794.44,491.49,470.95,992.06,3.62,963.29,1.27,3
174.21,521.26,552.27,971.39,40.87,998.69,33.27,15
9352,510.7,523.71,988.28,20.84,903.22,123.44,2
-7038.55,592.01,540.85,985.78,90.73,968.35,8.48,0
-5165.22,530.44,493.97,995.01,18.25,990.92,6.95,8
-3763.63,528.52,529.65,977.32,23.86,985.91,38.2,6
4705.81,490.98,522.62,991.95,5.92,997.76,84.68,6
2709.44,457.12,539.94,954.93,1.03,956.7,46.48,20
-1627.83,524.89,583.03,994.61,37.08,996.13,180.94,19
4013.51,492.92,420.5,920.23,26.03,991.82,5.8,23
7143.46,557.63,534.15,997.32,18.26,994.36,73.77,22
10631.46,524.07,470.79,994.28,22.01,992.65,45.88,2
975.22,529.19,562.61,982.93,47.2,962.99,13.1,9
-2441.06,558.62,550.24,999.68,38.05,984.59,6.56,8
4758.29,534.36,511.74,994.95,37.85,992.48,6.72,8
3759.52,504.87,454.98,970.46,1.75,983.03,26.17,6
-13696.36,484.46,549.7,992.55,12.01,990.14,9.89,15
8597.97,511.2,513.39,983.02,5.65,970.18,17.66,13
5329.91,626.41,479.82,999.36,20.2,997.71,0.21,8
1544.71,510.62,499.94,998.64,10.62,997.87,15.43,1
5323.98,545.65,518.25,980.98,10.54,977.93,29.18,13
-1697.68,513.27,534.92,980.75,36.35,971.27,22.03,10
12399.94,587.68,476.67,999.28,23.76,925.46,32.54,18
6174.51,463.57,426.04,955.23,18.46,991.93,24.23,19
-9825.75,452.11,533.42,996.77,39.57,995.84,7.16,21
-2273.16,495.13,519.33,997.4,8.57,990.64,5.77,8
-1651.47,513.28,489.82,990.04,0.84,990.67,41.3,13
-2100.48,557.75,441.71,980.71,59.69,986.03,9.59,20
2028.35,499.47,474.37,985.46,17,976.38,14.2,2
3216.23,467.1,421.73,967.11,85.85,970.11,11.17,2
9126.7,511.67,451.94,980.92,32.04,984.86,13.05,5
7274.73,535.9,488.75,996.55,35.67,998.92,5.8,17
2852.7,442.03,453.53,936.37,107.08,993.71,45.54,3
-2224.47,444.91,550.84,968.12,11.27,983.06,17.85,16
-767.57,537.75,617.89,975.86,61.81,999.45,147.17,11
-2943.99,449.39,590.78,986.03,9.64,991.77,50.84,14
11756.7,542.12,489.19,979.98,46.99,995.81,11.43,7
6282.47,513.79,501.67,951.63,8.61,990.25,34.23,20
6458.66,484.87,491.6,994.76,24.81,993.8,9.08,4
-1549.28,492.02,425.07,875.32,2.16,995.59,7.67,3
-5341.66,586.5,495.56,973.58,37.83,993.18,10.22,6
3208.33,609.29,407.84,983.86,17.4,867.71,18.21,12
3147.1,570.22,512.76,959.93,26.09,947.78,10.76,10
-1277.96,518.74,553.27,990.41,3.88,951.45,18.12,21
-3197.39,444.08,539.13,938.59,24.76,983.02,32.74,16
8178.85,522.53,536.49,986.64,4.72,964.39,47.6,4
2994.04,479.65,354.9,980.69,5.77,850.54,56.83,23
2766.83,577.48,466.8,992.95,54.46,992.49,4.84,8
2923.81,459.29,415.82,997.07,29,999.32,18.36,12
-1058.31,558.77,509.18,998.04,25.04,982.68,84.72,2
-1138.26,524.63,467.03,968.89,51.83,996.35,4.81,13
-5261.79,487.78,465.3,997.63,24.63,971.07,0.52,22
2934.04,471.61,500.73,995,12.94,998.03,17.99,18
1300.99,515.47,555.52,882.58,38.32,988.03,1.64,14
-1689.84,475.3,470.01,967.42,17.86,917.12,8.27,15
-1945.82,391.48,478.05,899.62,8.88,990.27,5.15,19
10810.61,557.36,501.72,992.92,9.81,945.97,81.21,7
3841.3,559.17,529.46,983.48,34.91,979.74,51.57,11
-8679.95,488.93,521.69,964.51,8.92,987.82,22.85,6
6139.84,500.87,548.22,990.01,2.6,963.71,59.13,18
-5520.18,436.63,431.6,940.03,40.85,964.13,73.68,6
-4286.49,465.53,521.11,974.29,0.11,975.22,39.26,23
-11661.86,501.55,520.69,998.93,4.77,999.19,5,20
-7228.48,546.16,493.69,987.3,137.49,999.96,4.84,7
236.3,491.42,447.88,995.17,113.49,984.12,52.7,13
-1298.67,401.36,511.54,753.32,7.4,987.23,78.14,20
-5010.74,538.24,529.6,953.84,97.32,996.61,16.11,0
4791.9,456.32,495.64,969.33,16.68,996.49,89.1,5
-3240.12,546.8,481.24,998.36,0.35,999.68,13.87,9
7077.64,601.91,488.79,981.73,119.96,988.67,65.6,10
5206.81,586.34,507.24,993.89,16.53,960.09,3.67,16
-4096.79,507.98,521.51,995.4,6.94,989.26,25.43,12
-12994.05,388.72,567.28,943.34,47.7,991.39,97.17,13
2119.56,482.91,461.94,902.82,3.7,990.92,48.91,7
2297.14,502.69,495.35,995,28.42,983.41,24.87,20
8148.86,551.7,477.66,997.85,11.7,998.29,28.7,10
-6193.23,412.43,412.59,974,32.17,915.93,20.94,16
-4531.92,547.12,481.96,996.36,18.28,989.69,17.47,9
7764.92,528.23,468.8,997.15,22.77,968.8,11.68,18
1227.51,522.11,423.34,956.31,94.61,844.71,61.98,0
6338.76,448.9,324.01,998.44,1.1,845.03,31.9,23
-251.07,566.19,499.07,996.11,61.66,981.69,31.75,4
-2847.79,477.16,520.26,993.16,28.34,999.44,81.78,18
-152.21,511.16,504.38,969.09,10.11,994.06,24.5,19
-3068.26,535.34,480.66,969.8,75.55,996.98,18.17,19
3089.31,473.55,564.78,998.15,6.76,989.81,13.44,13
1476.87,654.96,547.77,997.04,90.64,995.75,11.95,5
712.91,526.56,487.04,987.99,13.06,957.38,6.01,12
2599.33,469.36,532.82,990.04,4.23,990.5,73.16,19
-1107.31,498.23,560.1,953.84,0.51,989.43,15.4,23
-1120.18,485.88,503.02,976.73,30.54,995.6,13.35,2
7920.77,517.73,439.61,995.62,9.6,975.31,14.65,9
-12098.11,455.13,515.67,936.81,13.38,983.31,2.72,16
-4786.31,461.55,594.33,989.94,16.2,998.68,16.79,9
3649.89,507.14,581.32,968.61,13.48,981.44,99.39,8
1101.71,525.22,391.78,920.89,84.13,991.78,29.32,1
3971.69,550.1,460.81,941.47,48.75,996.38,13.28,7
-2307.24,453.01,496.8,997.25,12.08,978.19,25.4,4
821.96,466.69,489.82,937.3,10.73,962.38,95.32,21
-591.08,429.93,436.38,991.52,27.63,896.98,55.98,8
-3529.14,427.06,510,994.6,4.47,998.07,33.51,15
-1163.39,479.29,457.75,997.6,30.33,997.97,19.99,8
-10392.49,452.52,542.78,985.89,17.58,997.28,30.41,18
2145.2,534.32,445.04,976.68,2.15,990.21,2.61,22
-3809.45,419.41,496.72,997.29,21.46,992.99,32.57,15
3517.97,554.22,457.83,996.01,22.67,979.33,13.94,14
-4717.42,438.01,488.56,974.64,1.04,997.67,28.26,3
1728.64,523.37,473.15,997.84,19.62,908.2,42.95,23
-2509.23,433.48,440.76,994.4,22.52,985.41,18.53,9
-7482.53,446.65,436.52,991.15,21.38,968.63,17.89,11
3368.91,587.25,435.09,999.35,5.92,916.13,10.04,18
-5040.53,435.68,461.17,964.88,1.43,982.81,3.34,11
-610.08,532.43,481.77,949.22,56.71,995.21,97.69,13
-811.18,555.5,478.99,996.15,24.77,986.03,6.86,3
47.53,447.11,480.28,994.63,17.39,981.55,8.86,13
2324.56,511.59,482.67,968.81,1.69,984.63,63.18,1
-4676.74,497.77,585.41,994.07,20.07,967.03,47.47,0
2622.29,501.2,445.26,966.39,25.96,953.53,23.16,8
-969.62,430.32,564.86,965.27,102.24,937.66,237.29,20
821.08,495.56,578.3,988.28,11.16,992.57,54.94,9
6533.93,525.03,514.41,974.02,6.15,951.64,103.04,13
4200.78,498.05,485.32,971.36,6.8,912.88,2.14,5
908.83,538.92,504.67,984.47,29.58,966.97,5.51,1
235.81,459.01,549.23,990.04,11.74,947.42,3.59,4
-703.28,507.29,553.72,977.64,54.48,998.55,31.49,21
6460.95,516.23,434.87,981.65,10.74,960.97,3.89,16
6362.08,511.2,476.48,972.97,24.41,980.09,14.76,23
-326.35,462.38,459.06,979.99,61.88,967.67,39.7,8
-1834.65,430.34,476.81,951.59,6.76,988.39,29.82,13
2090.57,511.96,472.5,946.65,12.15,979.66,2.79,7
2799.68,499.5,477.44,997.23,10,953.17,9.29,20
573.13,581.76,609.87,995.01,145.79,895.49,88.74,5
1052.41,517.87,560.34,951.57,9.27,978.17,29.06,0
4426.03,514.02,520.28,974.85,9.74,966.64,37.14,16
3793.87,467.81,445.24,933.82,71.85,908.81,15.77,18
6748.7,577.52,533.2,985.97,50.29,996.03,78.31,22
-2698.37,495.75,568.34,999.24,18.14,977.7,23.68,20
-399.41,449.31,547.77,998.12,17.39,970.86,10.38,8
181.24,592.81,665.41,978.14,98.16,990.23,129.34,19
-5883.61,522.88,559.33,994.21,1.73,987.61,80.71,13
4277.93,446.02,521.65,999.03,23.38,992.47,3.81,16
-4643,503.45,536.56,983.52,61.62,993.5,17.73,15
-5790.68,524.09,482.68,961.5,47.88,972.74,16.34,22
-1010.03,446.13,485.77,989.3,2.34,985.29,5.03,2
8102.66,607.25,473.4,998.2,17.47,993.8,8.62,16
-8416.59,423.57,587.53,975.74,11.19,991.39,46.6,17
3805,510.78,540.11,968.23,39.83,998.04,45.35,14
3419.42,480.57,489.07,972.51,18.31,979.56,43.1,12
3372.59,531.34,491.57,887.2,79.03,991.6,3.31,11
-5818.46,379.35,536.22,896.07,3.31,988.38,27.04,15
-8165.33,434.76,589.99,970.02,1.24,966.83,22.41,9
-8072.1,508.46,517.93,878.37,47.55,976.19,16.75,11
8710.32,611.51,411.09,991.76,133.1,872.95,56.01,12
-10206.23,421.99,556.86,846.65,11.3,987.61,12.03,22
3847.56,509.91,514.83,967.26,7.59,973.82,32.31,21
3997.66,525.27,481.17,935.03,2.1,996.86,9.84,7
5680.92,493.24,460.69,984.45,71.45,887.16,25.14,14
-3293.22,494.5,513.58,990.63,51.1,989.96,1.94,21
-9942.5,481.87,500.53,995.92,19.77,988.59,1.32,22
-2841.27,520.2,537.49,999.92,22.92,975.24,18.85,3
-1338.76,444.37,491.29,934.77,33.64,946.69,11.42,4
3541.77,515.79,354.81,999.4,7.17,988.54,32.77,11
-1072.81,497.1,482.33,897.3,1.62,954.49,13.88,19
-1689.65,461.01,504.34,971.35,13.39,975.4,15.05,16
672.14,542.47,536.83,919.95,0.7,939.76,30.87,2
8623.68,517.72,508.27,969.61,18.43,961.47,15.75,22
785.86,500.4,506.91,988.32,17.8,961.79,49.97,17
-1251.38,447.3,571.15,972.68,37.41,979.39,2.98,1
-3056.66,522.78,462.47,997.4,27.15,958.83,35.19,18
3013.25,498.93,549.6,997.5,14.9,948.44,19.81,7
145.77,515.22,427.96,934.58,5.7,966.57,31.01,13
625.04,463.37,456.63,941.1,48.07,953.64,21.19,17
109.29,576.45,514.52,982.77,44.96,944.48,25.02,2
-5482.65,468,598.94,923.26,75.92,924.68,60.72,17
734.66,489.34,420.32,969.67,52.57,902.52,16.93,5
1588.45,471.31,486.67,995.32,0.55,997.26,12.17,10
-173.42,433.37,474.83,973.58,14.1,988.09,31.62,6
-9041.88,559.31,507.32,988,52.26,986.59,30.34,11
3082.44,456.24,460.7,967.8,2.92,909.81,4.46,1
-11410.05,503.29,596.55,987.5,2.34,973.81,104.18,3
-5337.78,484.67,593.88,986.22,8.16,992.4,10.61,23
1205.04,454.8,410.17,963.05,1.33,969.97,41.59,20
4801.17,522.14,449.12,994.51,6.84,986.94,2.64,2
1057.64,607.09,556.72,985.3,4.84,946.87,114.37,22
5973.84,548.7,426.8,984.49,23.9,964.62,6.67,9
5468.8,469.94,510.95,991.13,5.13,970.66,7.61,6
3425.42,560.95,405.79,964.99,11.79,984.21,0.49,7
3569.31,453.26,550.17,968.16,0.75,981.11,11.42,15
4109.62,519.36,546.24,951.69,7.67,972.86,77.08,9
-1890.65,583.14,523.91,968.19,8.82,967.08,10.26,4
-2412.14,525.18,560.04,946.56,71.33,974.82,11.8,22
-1740.8,558.39,499.74,986.04,8.31,989.04,10.84,5
1938.19,462.17,450.67,990.64,6.71,980.29,15.68,3
-6251.03,452.78,498.13,948.08,11.24,988.47,5.65,1
-1620.42,511.34,480.25,993.35,11.62,997.75,16.71,5
289.04,461.54,473.07,995.4,2.83,998.59,17,8
3143.51,526.6,508.72,965.73,58.61,997.16,6.65,5
-2288.84,514.85,506.92,986.2,15.1,973.18,4.65,16
-4562.17,482,530.91,994.92,5.42,998.25,6.63,5
-9990.16,461.71,530.17,970.29,29.45,969.18,25.51,15
7301.53,489.98,534.6,945.75,6.78,990.5,32.89,19
-2353.78,495.2,527.8,978.76,3.25,909.28,107.72,18
244.26,435.84,396.87,996.09,28.32,901.73,11.38,6
-4845.88,523.65,577.98,962.22,8.22,969.81,31.75,11
4313.88,484.35,543.38,989.93,10.34,999.39,10.71,6
3025.48,517.96,489.11,971.99,12.6,983.57,0.47,17
-238.82,451.72,506.69,958.84,4.15,997.43,92.03,1
3072.92,458.63,394.87,955.34,25.38,981.92,15.95,1
-5061.06,447.5,514.73,988.79,0.41,992.4,103.22,4
1370.5,413.18,407.49,976.73,8.67,972.93,5.66,22
8649.33,496.54,540.74,994.22,22.02,994.31,55.59,3
1315.15,544.58,467.09,965.84,23.8,940.4,9.07,23
-4315.74,461.21,496.47,946.06,26.07,993.77,2.77,17
6323.31,515.86,467.33,955.54,30.89,955.34,26.65,5
-7745.82,536.41,509.49,985.93,17.54,971.26,33.99,1
-2052.9,521.43,498.54,983.18,15.7,992.77,78.24,5
-4043.06,461.42,555.12,991.16,47.3,981.75,6.24,6
1757.79,510.38,518.49,967.43,10.5,966.23,20.3,19
-2172.06,577,530.52,992.72,63.16,935.92,13,22
1414.44,524.45,447.84,989.85,22.16,928.49,34.07,13
-3737.96,526.75,518.25,987.69,3.4,976.06,1.36,18
-6338.19,497.75,514.34,965.5,17.36,992.56,48.77,18
-258.57,506.74,483.15,949.21,7.68,990.7,35.08,9
3480.19,525.34,602.44,984.74,14.11,951.23,1.55,22
-274.71,503.74,454.02,994.67,42.18,987.99,55.94,21
3199.59,430.87,456.08,990.58,18.21,964.73,30.38,5
-6785.32,536.68,514.61,990.16,10.85,957.52,15.45,8
-2077.96,470.97,503.11,985.14,12.24,981.34,24.43,23
-2508.13,458.8,537.62,941.13,16.8,963.92,19.69,14
-240,601.53,515.04,999.07,72.08,963.72,14.41,21
2223.08,506.34,511.85,989.57,5.91,995.19,15.53,0
-885.03,478.05,577.81,999.82,9.45,988.16,10.66,1
3846.42,527.1,470.84,998.39,16.87,987.03,18.81,3
4827.39,428.61,496.3,992.02,19.57,961.41,41.93,3
-5377.47,450.23,488.1,964.96,25.69,954.36,9.73,5
-11182.36,415.18,516.96,994.17,24.25,999.72,18.37,2
4558.08,487.5,464.59,978,7.42,980.4,18.27,13
-3758.78,481.17,478.05,999.62,6.07,983.02,49.61,8
-4039.44,506.99,541.97,967.04,22.4,978.23,16.87,6
-3846.01,465.01,523.37,985.31,0.16,998.34,6.33,4
3462.9,523.25,516.91,995.51,14.9,999.19,13.76,2
11687.99,552.15,437.09,990.28,3.92,973.21,9.92,21
512.2,652.92,501.85,989.53,283.14,940.44,42.63,17
-3497.77,524.03,512.06,994.16,29.48,956.71,18.2,20
980.1,474.04,450.7,982.35,7.47,986.89,0.6,18
4414.75,548.24,505.33,996.14,6.4,942.64,11.3,17
-6232.69,454.94,525,981.51,49.1,987.67,0.95,9
8138.44,516.99,536.7,985.25,18.31,984.96,10.41,22
158.3,476.17,485,960.11,17.62,993.56,2.31,9
5401.65,524.01,485.92,998.29,86.33,951.28,86.36,19
-3021.33,502.19,502.35,993.62,1.39,980.45,18.25,21
81.3,478.8,441.7,981.76,21.28,909.28,5.23,0
2064.73,529.46,508.06,983.61,20.84,972.47,34.96,4
5490,513.79,498.33,976.75,8.65,982.12,18.28,10
1611.82,524.58,436.35,995.98,6.37,990.11,36.56,12
1475.98,488.98,548.67,972.37,25.21,997.55,35.08,20
-2155.75,409.99,475.32,874.79,19.23,994.33,21.57,8
-4931.09,502.81,485.58,982.63,15.57,999.49,7.17,23
1847.91,503.01,472.44,984.41,17.34,957.3,9.61,10
-2673,478.12,423.79,933.67,61.99,984.49,10.91,20
771.07,461.82,453.89,954.11,1.85,944.3,32,22
4031.63,517.91,455.49,987.09,16.87,999.51,5.23,10
-130.79,497.36,575.89,995.47,15.59,980.37,5.47,18
-12587.93,501.43,441.44,991.39,3.32,970.38,0.75,0
-52.12,525.09,496.35,985.26,21.34,992.19,2.33,1
2685.26,428.87,472.2,940.58,18.98,991.28,30.42,8
8602.29,482.81,367.21,991.99,12.28,958.69,22.4,16
-501.64,530.87,471.07,972.22,45.63,927.08,70.55,15
-3940.75,443.43,456.54,994.77,12.74,934.38,8.29,18
8186.34,499.68,459.99,999.99,11,959.37,1.2,4
7750.56,544.61,531.2,958.04,9.26,994.86,24.79,15
-3654.24,559.4,505.74,973.88,63.87,974.98,46.33,13
-3288.33,554.57,576.86,967.69,4.51,994.06,8.99,4
-1102.09,499.9,511.05,974.55,9.84,983.77,9.08,21
10160.89,425.41,328.19,980.45,48.78,980.27,7.47,10
1891.84,533.36,527.53,973.59,25,974.05,52.44,19
545.61,505.93,487.74,925.84,33.8,983.07,0.45,13
-14365.67,495.1,580.32,995.88,37.89,992.68,60.03,5
2166.15,464.29,491.23,999.87,28.08,983.45,32.28,8
-4027.67,420.81,541.04,999.74,28.68,993.55,18.61,22
13085.08,558.19,457.93,992.52,26.05,937.53,10.16,10
-5464.92,554.34,443.96,994.63,6.93,943.24,2.4,21
-3473.31,487.34,489.72,975.93,58.9,981.45,2.32,2
2627.07,489.92,561.72,938.01,35.67,977.54,97.87,19
-908.85,474.36,498.21,998.57,1.34,983.43,7.19,14
-4516.26,523.84,477.65,999.45,9.1,967.06,28.85,0
1525.13,592.63,580.91,959.49,87.98,968.47,11.05,6
159.05,563.03,448.63,967.8,63.79,933.05,35.52,2
847.37,459.16,426.57,876.92,43.51,987.48,8.14,12
6813.9,568.58,526.63,974.77,19.66,995.63,39.16,6
2517.47,556.48,543.23,989.24,7.24,967.7,78.4,3
-1403.91,597.73,541.13,997.11,126.6,969.14,4.28,17
4355,529.26,443.19,990.22,20.12,987.52,3.48,6
-4729.74,509.31,593.28,992.98,3.66,996.14,16.3,6
2736.56,431.93,495.86,997.32,25.85,966.32,81.53,4
4605.08,508.22,519.32,986.18,24.97,956.35,80.88,6
-4764.14,475.04,497.99,912.95,20.86,957.63,8.11,9
6387.16,539.16,402.11,938.77,64.64,823.7,0.27,17
400.01,480.51,505.91,901.36,44.36,989.89,3.58,15
6896.98,562.05,504.03,973.37,4.51,896.06,22.84,17
-3466.9,530.58,526.24,996,13.89,983.44,1.33,13
2682.73,503.39,414.89,995.79,27.73,897.38,23.03,6
584.38,559.86,496.97,996.87,2.1,969.3,7.43,3
-6016.22,495.89,543.02,974.77,49.73,985.85,27.63,22
-13380.78,428.62,485.88,996.78,27.07,998.79,23.16,19
4703.05,427.79,513.52,961.82,2.03,955.76,118.24,23
1977.32,578.82,622.81,999.2,28.43,998.83,14.87,8
-4581.22,509.84,566.35,990.83,13.9,993.21,13.28,18
-4226.58,489.8,500.81,972.67,26.04,995.15,10.29,17
8887.78,526,576.2,991.59,5.97,972.8,12.94,16
-3140.25,516.67,441.61,981.26,62.95,915.03,7.95,10
90.18,488.28,466.85,958.59,67.28,991.54,29.93,14
3186.18,512.27,553.72,983.85,23.65,981.35,24.54,1
-7781.54,501.3,514.69,999.69,18.43,983.95,1.87,10
2470.11,452.08,460.44,993.93,13.1,999.27,8.89,10
-2184.49,407.56,494.93,991.14,2.24,958.65,48.62,9
-2805.72,522.18,491.13,961.45,14.68,988.46,6.69,4
38.11,489.81,453.47,975.17,30.4,970.82,26.7,6
2323.32,602.16,581.48,972.84,102.88,992.62,22.45,19
-4499.04,506.39,570.95,997.76,8.85,978.31,18,22
-2580.3,495.56,497.3,998.47,1.81,991.09,0.46,7
8375.96,494.17,536.39,990.06,3.65,951.11,13.94,19
-6412.11,545.59,506.22,951.1,0.62,990.24,24.53,3
-5569.08,538.84,571.1,995.93,68.21,992.62,11.86,18
-5406.03,447.32,564.84,947.85,0.48,992.47,13.25,17
-3250.14,442.35,508.06,986.62,6.34,935.11,7.66,14
5461.84,555.36,497.05,976.08,6.28,993.03,7.58,11
4820.32,528.01,416.41,962.9,10.08,932.77,13.36,1
-349.82,584.98,456.71,994.57,4.98,954.55,21.18,21
-1573.77,523.35,429.51,989.22,6.01,958.26,8.45,3
2509.8,556.22,508.03,995.97,4.15,985.29,3.46,4
-2887.89,456.16,448.53,980.62,5.12,978.33,40.12,17
-3506.64,517.26,507.23,990.15,19.56,998.14,5.3,6
7620.29,536.03,566.04,984.91,37.21,982.92,26.28,3
1090.33,405.72,497.87,949.49,20.31,980.6,0.79,16
4092.24,499.5,517.55,973.58,4.37,991.64,43.48,1
-9068.88,536.42,535.68,975.62,3.08,976.55,16.86,18
-2947.18,537.7,496.57,996.36,23.11,985.35,5.54,13
5697.38,533.11,401.6,936.06,40.04,984.38,53.01,13
-1407.29,527.58,553.16,931.49,21.86,997.55,1.21,22
12490.22,564.11,455.85,996.92,25.01,990.79,17.98,1
814.84,430.55,446.99,938.11,9.78,947.25,11.76,21
-1069.39,511.16,555.28,978.27,82.76,998.8,8.81,4
12422.79,512.2,522.26,985.64,24.03,962.32,22.07,13
-4095.09,487.42,529.48,942.34,0.73,987.33,20.4,8
-8755.38,385.28,509.2,990.97,12.91,949.5,12.46,2
-1516.95,522.94,506.97,995.79,0.19,986.79,31.39,11
5602.94,492.14,499.35,999.44,32.44,974.34,11.75,13
-535.89,512.81,475.25,955.8,12.8,974.76,2.79,3
-1512.86,517.73,471.6,999.37,39.56,946.58,16.63,5
-4507.11,409.43,563.11,991.51,34.83,970.92,18.05,12
-3573.09,466.83,508.13,908.41,92.24,978.35,30.55,12
145.68,518.1,477.35,992.6,22.46,865.15,0.44,20
-1213.1,469.52,491.39,931.55,7.93,995.13,20.72,21
318.5,443.43,431.18,984.67,50.62,964.32,30.84,14
967.48,578.71,524.22,998.3,88.81,964.2,13.54,23
6048.84,536.74,558.34,995.3,39.49,995.63,39,23
-4126.83,428.46,524.43,956.16,16.67,947.44,56.12,5
-6760.87,487.22,593.82,945,26.79,999.77,39.43,19
-1158.85,526.39,593.17,993.55,2.53,969.63,6.11,10
-13671.75,462.52,522.01,979.7,100.83,973.79,43.8,12
5049.6,546.45,373.25,982.35,60.53,960.98,7.82,1
-4123.66,495.88,527.5,972.35,44.4,976.29,59.06,5
-6349.84,405.22,533.08,951.65,4.21,974.39,0.15,2
-9991.5,505.17,526.76,991.64,23.83,987.65,4.61,21
-5584.71,501.31,533.82,971.31,19.97,977.98,10.41,17
-4240.27,432.22,529.86,933.03,36.41,961.15,21.55,1
8254.34,504.81,482.08,984.71,51.07,938.99,83.32,5
9739.71,511.95,494.46,969.06,7.15,979.76,24.82,7
-6918.8,448.88,552.75,979.27,0.66,985.25,29.18,1
9271.49,513.99,494.23,993.91,42.66,934.46,25.12,6
-4264.81,417.85,501.47,912.35,9.48,977.26,18.43,6
2295.9,544.46,456.89,982.78,51.19,984.2,4.84,2
-7196.28,610.93,529.24,995.71,38.91,970.13,4.12,10
65.29,470.89,519.01,996.8,26.9,970.75,9.38,23
968.9,564.62,423.96,980.4,31.99,993.43,3.67,18
-2170.95,520.42,572,999.93,17.87,990.76,22.27,4
6339.97,500.08,425.69,964.79,68.68,885.98,14.14,13
